ProductID|Name|ProductNumber|Color|StandardCost|ListPrice|Size|Weight|ProductCategoryID|ProductModelID|SellStartDate|SellEndDate|DiscontinuedDate|rowguid,
715|Long-Sleeve Logo Jersey, L|LJ-0192-L|Multi|38.4923|49.99|L|NULL|25|11|2005-07-01 00:00:00.000|NULL|NULL|34CF5EF5-C077-4EA0-914A-084814D5CBD5
716|Long-Sleeve Logo Jersey, XL|LJ-0192-X|Multi|38.4923|49.99|XL|NULL|25|11|2005-07-01 00:00:00.000|NULL|NULL|6EC47EC9-C041-4DDA-B686-2125D539CE9B
717|HL Road Frame - Red, 62|FR-R92R-62|Red|868.6342|1431.50|62|1043.26|18|6|2005-07-01 00:00:00.000|NULL|NULL|052E4F8B-0A2A-46B2-9F42-10FEBCFAE416
718|HL Road Frame - Red, 44|FR-R92R-44|Red|868.6342|1431.50|44|961.61|18|6|2005-07-01 00:00:00.000|NULL|NULL|A88D3B54-2CAE-43F2-8C6E-EA1D97B46A7C
719|HL Road Frame - Red, 48|FR-R92R-48|Red|868.6342|1431.50|48|979.75|18|6|2005-07-01 00:00:00.000|NULL|NULL|07BEFC9A-7634-402B-B234-D7797733BAAF
720|HL Road Frame - Red, 52|FR-R92R-52|Red|868.6342|1431.50|52|997.90|18|6|2005-07-01 00:00:00.000|NULL|NULL|FCFEA68F-310E-4E6E-9F99-BB17D011EBAE
721|HL Road Frame - Red, 56|FR-R92R-56|Red|868.6342|1431.50|56|1016.04|18|6|2005-07-01 00:00:00.000|NULL|NULL|56C85873-4993-41B4-8096-1067CFD7E4BD
722|LL Road Frame - Black, 58|FR-R38B-58|Black|204.6251|337.22|58|1115.83|18|9|2005-07-01 00:00:00.000|NULL|NULL|2140F256-F705-4D67-975D-32DE03265838
723|LL Road Frame - Black, 60|FR-R38B-60|Black|204.6251|337.22|60|1124.90|18|9|2005-07-01 00:00:00.000|NULL|NULL|AA95E2A5-E7C4-4B74-B1EA-B52EE3B51537
724|LL Road Frame - Black, 62|FR-R38B-62|Black|204.6251|337.22|62|1133.98|18|9|2005-07-01 00:00:00.000|NULL|NULL|5247BE33-50BF-4527-8A30-A39AAE500A8E
725|LL Road Frame - Red, 44|FR-R38R-44|Red|187.1571|337.22|44|1052.33|18|9|2005-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|137D319D-44AD-42B2-AB61-60B9CE52B5F2
726|LL Road Frame - Red, 48|FR-R38R-48|Red|187.1571|337.22|48|1070.47|18|9|2005-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|35213547-275F-4767-805D-C8A4B8E13745
727|LL Road Frame - Red, 52|FR-R38R-52|Red|187.1571|337.22|52|1088.62|18|9|2005-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|C455E0B3-D716-419D-ABF0-7E03EFDD2E26
728|LL Road Frame - Red, 58|FR-R38R-58|Red|187.1571|337.22|58|1115.83|18|9|2005-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|799A56FF-5AD2-41B3-BFAC-528B477AD129
729|LL Road Frame - Red, 60|FR-R38R-60|Red|187.1571|337.22|60|1124.90|18|9|2005-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|1784BB14-D1F5-4B24-92DA-9127AD179302
730|LL Road Frame - Red, 62|FR-R38R-62|Red|187.1571|337.22|62|1133.98|18|9|2005-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|7E73AA1F-8569-4D87-9F80-AC2E513E0803
731|ML Road Frame - Red, 44|FR-R72R-44|Red|352.1394|594.83|44|1006.97|18|16|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|459E041C-3234-409E-B4CD-81728F8A2398
732|ML Road Frame - Red, 48|FR-R72R-48|Red|352.1394|594.83|48|1025.11|18|16|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|B673189C-C042-413B-8194-73BC44B0492C
733|ML Road Frame - Red, 52|FR-R72R-52|Red|352.1394|594.83|52|1043.26|18|16|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|55EA276B-82D8-4CCB-9AB1-9B1B75B15A83
734|ML Road Frame - Red, 58|FR-R72R-58|Red|352.1394|594.83|58|1070.47|18|16|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|DF4CE1E2-BA9A-4657-B999-CCFA6C55D9C1
735|ML Road Frame - Red, 60|FR-R72R-60|Red|352.1394|594.83|60|1079.54|18|16|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|B2E48E8C-63A5-469A-BA4C-4F5EBB1104A4
736|LL Road Frame - Black, 44|FR-R38B-44|Black|204.6251|337.22|44|1052.33|18|9|2005-07-01 00:00:00.000|NULL|NULL|C9967889-F490-4A66-943A-BCE432E938D8
737|LL Road Frame - Black, 48|FR-R38B-48|Black|204.6251|337.22|48|1070.47|18|9|2005-07-01 00:00:00.000|NULL|NULL|3B5F29B6-A441-4FF7-A0FA-FAD10E2CEB4C
738|LL Road Frame - Black, 52|FR-R38B-52|Black|204.6251|337.22|52|1088.62|18|9|2005-07-01 00:00:00.000|NULL|NULL|18FC5D72-A012-4DC7-BB35-0D01A84D0219
739|HL Mountain Frame - Silver, 42|FR-M94S-42|Silver|747.2002|1364.50|42|1233.76|16|5|2005-07-01 00:00:00.000|NULL|NULL|8AE32663-8D6F-457D-8343-5B181FEC43A7
740|HL Mountain Frame - Silver, 44|FR-M94S-44|Silver|706.811|1364.50|44|1251.91|16|5|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|1909C60C-C490-411D-B3E6-12DDD7832482
741|HL Mountain Frame - Silver, 48|FR-M94S-52|Silver|706.811|1364.50|48|1270.05|16|5|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|B181EC1F-CA20-4724-B2EB-15F3E455142E
742|HL Mountain Frame - Silver, 46|FR-M94S-46|Silver|747.2002|1364.50|46|1288.20|16|5|2005-07-01 00:00:00.000|NULL|NULL|A189D86E-D923-4336-B13D-A5DB6F426540
743|HL Mountain Frame - Black, 42|FR-M94B-42|Black|739.041|1349.60|42|1233.76|16|5|2005-07-01 00:00:00.000|NULL|NULL|27DB28F8-5AB8-4091-B94E-6F1B2D8E7AB0
744|HL Mountain Frame - Black, 44|FR-M94B-44|Black|699.0928|1349.60|44|1251.91|16|5|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|CB443286-6B25-409F-A10B-1AD4EEB4BD4E
745|HL Mountain Frame - Black, 48|FR-M94B-48|Black|699.0928|1349.60|48|1270.05|16|5|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|1FEE0573-6676-432D-8D6D-41BA9FAA5865
746|HL Mountain Frame - Black, 46|FR-M94B-46|Black|739.041|1349.60|46|1288.20|16|5|2005-07-01 00:00:00.000|NULL|NULL|50ABEBCB-451E-42B9-8DBB-E5C4A34470E9
747|HL Mountain Frame - Black, 38|FR-M94B-38|Black|739.041|1349.60|38|1215.62|16|5|2005-07-01 00:00:00.000|NULL|NULL|0C548577-3171-4CE2-B9A0-1ED526849DE8
748|HL Mountain Frame - Silver, 38|FR-M94S-38|Silver|747.2002|1364.50|38|1215.62|16|5|2005-07-01 00:00:00.000|NULL|NULL|F246ACAA-A80B-40EC-9208-02EDEF885129
749|Road-150 Red, 62|BK-R93R-62|Red|2171.2942|3578.27|62|6803.85|6|25|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|BC621E1F-2553-4FDC-B22E-5E44A9003569
750|Road-150 Red, 44|BK-R93R-44|Red|2171.2942|3578.27|44|6245.93|6|25|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|C19E1136-5DA4-4B40-8758-54A85D7EA494
751|Road-150 Red, 48|BK-R93R-48|Red|2171.2942|3578.27|48|6409.23|6|25|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|D10B7CC1-455E-435B-A08F-EC5B1C5776E9
752|Road-150 Red, 52|BK-R93R-52|Red|2171.2942|3578.27|52|6540.77|6|25|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|5E085BA0-3CD5-487F-85BB-79ED1C701F23
753|Road-150 Red, 56|BK-R93R-56|Red|2171.2942|3578.27|56|6658.70|6|25|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|30819B88-F0D3-4E7A-8105-19F6FAC2CEFB
754|Road-450 Red, 58|BK-R68R-58|Red|884.7083|1457.99|58|8069.37|6|28|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|40D5EFFA-C0C4-479F-AF66-5F1BF8ED3BFB
755|Road-450 Red, 60|BK-R68R-60|Red|884.7083|1457.99|60|8119.26|6|28|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|181A90CB-3678-490E-8418-78F73FB5343D
756|Road-450 Red, 44|BK-R68R-44|Red|884.7083|1457.99|44|7606.70|6|28|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|F8B5E26A-3D33-4E39-B500-CC21A133062E
757|Road-450 Red, 48|BK-R68R-48|Red|884.7083|1457.99|48|7770.00|6|28|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|C72C9978-0B04-46B3-9DE6-948FECA1C86E
758|Road-450 Red, 52|BK-R68R-52|Red|884.7083|1457.99|52|7901.54|6|28|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|040A4B7D-4060-4507-AA92-7508B434797E
759|Road-650 Red, 58|BK-R50R-58|Red|486.7066|782.99|58|8976.55|6|30|2005-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|6711D6BC-664F-4890-9F69-AF1DE321D055
760|Road-650 Red, 60|BK-R50R-60|Red|486.7066|782.99|60|9026.44|6|30|2005-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|664867E5-4AB3-4783-96F9-42EFDE92F49B
761|Road-650 Red, 62|BK-R50R-62|Red|486.7066|782.99|62|9071.80|6|30|2005-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|1DA14E09-6D71-4E2A-9EE9-1BDFDFD8A109
762|Road-650 Red, 44|BK-R50R-44|Red|486.7066|782.99|44|8513.88|6|30|2005-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|F247AAAE-12E3-4048-A37B-CCE4A8999E81
763|Road-650 Red, 48|BK-R50R-48|Red|486.7066|782.99|48|8677.18|6|30|2005-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|3DA5FA6E-9E0F-4896-AC10-948C27F4EB79
764|Road-650 Red, 52|BK-R50R-52|Red|486.7066|782.99|52|8808.72|6|30|2005-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|07CFE1EA-8A37-4D2A-835F-BC8D37E564AF
765|Road-650 Black, 58|BK-R50B-58|Black|486.7066|782.99|58|8976.55|6|30|2005-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|74645B12-3CE9-49A6-BD96-2CD814B37420
766|Road-650 Black, 60|BK-R50B-60|Black|486.7066|782.99|60|9026.44|6|30|2005-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|A2DB196D-6640-49EA-A84F-2E87CA6F50C6
767|Road-650 Black, 62|BK-R50B-62|Black|486.7066|782.99|62|9071.80|6|30|2005-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|C82A8309-63D3-4C0C-AD71-E91272397095
768|Road-650 Black, 44|BK-R50B-44|Black|486.7066|782.99|44|8513.88|6|30|2005-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|11D563AC-115C-4F0D-A1E5-E946EEE8B38B
769|Road-650 Black, 48|BK-R50B-48|Black|486.7066|782.99|48|8677.18|6|30|2005-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|A7E2179E-137C-497E-A5E6-C9EA64935FB0
770|Road-650 Black, 52|BK-R50B-52|Black|486.7066|782.99|52|8808.72|6|30|2005-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|136E2865-E0DA-4624-963A-31349279AB1A
771|Mountain-100 Silver, 38|BK-M82S-38|Silver|1912.1544|3399.99|38|9230.56|5|19|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|CA74B54E-FC30-4464-8B83-019BFD1B2DBB
772|Mountain-100 Silver, 42|BK-M82S-42|Silver|1912.1544|3399.99|42|9421.06|5|19|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|BBFFF5A5-4BDC-49A9-A5AD-7584ADFFE808
773|Mountain-100 Silver, 44|BK-M82S-44|Silver|1912.1544|3399.99|44|9584.36|5|19|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|155FD77E-D6D6-43F0-8A5B-4A8305EB45CD
774|Mountain-100 Silver, 48|BK-M82S-48|Silver|1912.1544|3399.99|48|9715.90|5|19|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|BA5551DF-C9EE-4B43-B3CA-8C19D0F9384D
775|Mountain-100 Black, 38|BK-M82B-38|Black|1898.0944|3374.99|38|9230.56|5|19|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|DEA33347-FCD3-4346-AA0F-068CD6B3AD06
776|Mountain-100 Black, 42|BK-M82B-42|Black|1898.0944|3374.99|42|9421.06|5|19|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|02935111-A546-4C6D-941F-BE12D42C158E
777|Mountain-100 Black, 44|BK-M82B-44|Black|1898.0944|3374.99|44|9584.36|5|19|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|7920BC3B-8FD4-4610-93D2-E693A66B6474
778|Mountain-100 Black, 48|BK-M82B-48|Black|1898.0944|3374.99|48|9715.90|5|19|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|1B486300-7E64-4C5D-A9BA-A8368E20C5A0
779|Mountain-200 Silver, 38|BK-M68S-38|Silver|1265.6195|2319.99|38|10591.33|5|20|2006-07-01 00:00:00.000|NULL|NULL|3A45D835-ABAE-4806-AC03-C53ABCD3B974
780|Mountain-200 Silver, 42|BK-M68S-42|Silver|1265.6195|2319.99|42|10781.83|5|20|2006-07-01 00:00:00.000|NULL|NULL|CE4849B4-56E6-4B50-808B-9BDE67CC4704
781|Mountain-200 Silver, 46|BK-M68S-46|Silver|1265.6195|2319.99|46|10945.13|5|20|2006-07-01 00:00:00.000|NULL|NULL|20799030-420C-496A-9922-09189C2B457E
782|Mountain-200 Black, 38|BK-M68B-38|Black|1251.9813|2294.99|38|10591.33|5|20|2006-07-01 00:00:00.000|NULL|NULL|82CB8F9B-B8BB-4841-98D3-BCDB807C4DD8
783|Mountain-200 Black, 42|BK-M68B-42|Black|1251.9813|2294.99|42|10781.83|5|20|2006-07-01 00:00:00.000|NULL|NULL|2B0AF5B9-7571-4621-B760-47DF599F9650
784|Mountain-200 Black, 46|BK-M68B-46|Black|1251.9813|2294.99|46|10945.13|5|20|2006-07-01 00:00:00.000|NULL|NULL|33F42284-E216-4B98-BA48-B4EE18A01FA0
785|Mountain-300 Black, 38|BK-M47B-38|Black|598.4354|1079.99|38|11498.51|5|21|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|F06C2CBF-0901-4C08-80ED-FB4E87171B3B
786|Mountain-300 Black, 40|BK-M47B-40|Black|598.4354|1079.99|40|11689.01|5|21|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|580D4322-BE03-4C91-83D2-EE33EC6008AB
787|Mountain-300 Black, 44|BK-M47B-44|Black|598.4354|1079.99|44|11852.31|5|21|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|07C2A548-0452-47B4-9DCE-6EDB0A30C85E
788|Mountain-300 Black, 48|BK-M47B-48|Black|598.4354|1079.99|48|11983.85|5|21|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|16078DBE-388D-4C18-AA8F-0C8F48035468
789|Road-250 Red, 44|BK-R89R-44|Red|1518.7864|2443.35|44|6699.52|6|26|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|0AA71AD6-AFAF-43C6-9745-35D815B50A5B
790|Road-250 Red, 48|BK-R89R-48|Red|1518.7864|2443.35|48|6862.82|6|26|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|115DDADE-70E3-43F9-80DC-638DAEA271C4
791|Road-250 Red, 52|BK-R89R-52|Red|1518.7864|2443.35|52|6994.36|6|26|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|C9FD1DF4-9512-420A-B379-067108033B75
792|Road-250 Red, 58|BK-R89R-58|Red|1554.9479|2443.35|58|7162.19|6|26|2006-07-01 00:00:00.000|NULL|NULL|DF629C11-8D8B-4774-9D52-ECB64DC95212
793|Road-250 Black, 44|BK-R89B-44|Black|1554.9479|2443.35|44|6699.52|6|26|2006-07-01 00:00:00.000|NULL|NULL|1FF419B5-52AF-4F7E-AEAE-4FEC5E99DE35
794|Road-250 Black, 48|BK-R89B-48|Black|1554.9479|2443.35|48|6862.82|6|26|2006-07-01 00:00:00.000|NULL|NULL|9D165DDF-8F5D-41C7-9BB8-13F41A3D1F62
795|Road-250 Black, 52|BK-R89B-52|Black|1554.9479|2443.35|52|6994.36|6|26|2006-07-01 00:00:00.000|NULL|NULL|74FE3957-CBC3-450A-AB92-849BD13530E2
796|Road-250 Black, 58|BK-R89B-58|Black|1554.9479|2443.35|58|7112.29|6|26|2006-07-01 00:00:00.000|NULL|NULL|1C530FE8-A169-4ADC-B3DC-B11A48245E63
797|Road-550-W Yellow, 38|BK-R64Y-38|Yellow|713.0798|1120.49|38|7869.79|6|29|2006-07-01 00:00:00.000|NULL|NULL|AAD81532-A572-49A5-83C3-DFA9E3B4FEA6
798|Road-550-W Yellow, 40|BK-R64Y-40|Yellow|713.0798|1120.49|40|8060.29|6|29|2006-07-01 00:00:00.000|NULL|NULL|A35A1C35-C128-4697-951E-4199062E78F3
799|Road-550-W Yellow, 42|BK-R64Y-42|Yellow|713.0798|1120.49|42|8223.59|6|29|2006-07-01 00:00:00.000|NULL|NULL|A359AB09-16F2-4726-A60F-0DFDB1C9527E
800|Road-550-W Yellow, 44|BK-R64Y-44|Yellow|713.0798|1120.49|44|8355.13|6|29|2006-07-01 00:00:00.000|NULL|NULL|0A7028FB-FF06-4D38-AAA1-B64816278165
801|Road-550-W Yellow, 48|BK-R64Y-48|Yellow|713.0798|1120.49|48|8473.06|6|29|2006-07-01 00:00:00.000|NULL|NULL|C90CC877-804C-4CE7-AFC3-4C8791A13DFB
802|LL Fork|FK-1639|NULL|65.8097|148.22|NULL|NULL|14|104|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|FB8502BE-07EB-4134-AB06-C3A9959A52AE,
803|ML Fork|FK-5136|NULL|77.9176|175.49|NULL|NULL|14|105|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|F5FA4E2F-B976-48A4-BF79-85632F697D2E,
804|HL Fork|FK-9939|NULL|101.8936|229.49|NULL|NULL|14|106|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|553229B3-1AD9-4A71-A21C-2AF4332CFCE9,
805|LL Headset|HS-0296|NULL|15.1848|34.20|NULL|NULL|15|59|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|BB6BD7B3-A34D-4D64-822E-781FA6838E19,
806|ML Headset|HS-2451|NULL|45.4168|102.29|NULL|NULL|15|60|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|23B5D52B-8C29-4059-B899-75C53B5EE2E6,
807|HL Headset|HS-3479|NULL|55.3801|124.73|NULL|NULL|15|61|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|12E4D5E8-79ED-4BCB-A532-6275D1A93417,
808|LL Mountain Handlebars|HB-M243|NULL|19.7758|44.54|NULL|NULL|8|52|2006-07-01 00:00:00.000|NULL|NULL|B59B7BF2-7AFC-4A74-B063-F942F1E0DA19,
809|ML Mountain Handlebars|HB-M763|NULL|27.4925|61.92|NULL|NULL|8|54|2006-07-01 00:00:00.000|NULL|NULL|AE6020DF-D9C9-4D34-9795-1F80E6BBF5A5,
810|HL Mountain Handlebars|HB-M918|NULL|53.3999|120.27|NULL|NULL|8|55|2006-07-01 00:00:00.000|NULL|NULL|6AA0F921-0F09-4F99-8D3C-335946873553,
811|LL Road Handlebars|HB-R504|NULL|19.7758|44.54|NULL|NULL|8|56|2006-07-01 00:00:00.000|NULL|NULL|ACDAE407-B40E-435E-8E84-1BFC33013E81,
812|ML Road Handlebars|HB-R720|NULL|27.4925|61.92|NULL|NULL|8|57|2006-07-01 00:00:00.000|NULL|NULL|33FA1A03-38D6-405E-BE9B-EEA92F3D204F,
813|HL Road Handlebars|HB-R956|NULL|53.3999|120.27|NULL|NULL|8|58|2006-07-01 00:00:00.000|NULL|NULL|5C5327B9-AD2E-4C33-8D74-EDF49E0C2DD8,
814|ML Mountain Frame - Black, 38|FR-M63B-38|Black|185.8193|348.76|38|1238.30|16|15|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|0D879312-A7D3-441D-9D23-B6550BAB3814
815|LL Mountain Front Wheel|FW-M423|Black|26.9708|60.745|NULL|NULL|21|42|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|D7B1D161-182E-44F6-A9FF-9C1EBA76613B,
816|ML Mountain Front Wheel|FW-M762|Black|92.8071|209.025|NULL|NULL|21|45|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|5E3E5033-9A77-4DCA-8B7F-DFED78EFA08A,
817|HL Mountain Front Wheel|FW-M928|Black|133.2955|300.215|NULL|NULL|21|46|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|3C8FFFF6-A8DC-45A3-963B-A6284CED7596,
818|LL Road Front Wheel|FW-R623|Black|37.9909|85.565|NULL|900.00|21|49|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|9E66DE78-DECB-438A-B9A9-023C773C60A2,
819|ML Road Front Wheel|FW-R762|Black|110.2829|248.385|NULL|850.00|21|50|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|6EA94FBF-B9AA-43FC-84E8-91D508DDE751,
820|HL Road Front Wheel|FW-R820|Black|146.5466|330.06|NULL|650.00|21|51|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|727A3CD5-8D40-4884-A7E4-DFD3FFDEB164,
821|Touring Front Wheel|FW-T905|Black|96.7964|218.01|NULL|NULL|21|44|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|8D1CDB07-4FA1-4AC1-840F-A16C3DCA5009,
822|ML Road Frame-W - Yellow, 38|FR-R72Y-38|Yellow|360.9428|594.83|38|988.83|18|17|2006-07-01 00:00:00.000|NULL|NULL|22976FA7-0AD0-40F9-B4F9-BA10279EA1A3
823|LL Mountain Rear Wheel|RW-M423|Black|38.9588|87.745|NULL|NULL|21|123|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|E6C39F58-995F-4786-A309-DF3812D8B30F,
824|ML Mountain Rear Wheel|RW-M762|Black|104.7951|236.025|NULL|NULL|21|124|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|B2F7CF9B-A7BF-49AB-9CCA-9F6E791CD693,
825|HL Mountain Rear Wheel|RW-M928|Black|145.2835|327.215|NULL|NULL|21|125|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|35D02EDC-1120-41FB-B5DF-8655A93B3353,
826|LL Road Rear Wheel|RW-R623|Black|49.9789|112.565|NULL|1050.00|21|126|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|78D01117-8DCD-465F-9DC7-94A2CDC35582,
827|ML Road Rear Wheel|RW-R762|Black|122.2709|275.385|NULL|1000.00|21|77|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|CF739F9A-0AF0-4810-B229-C431A31D7779,
828|HL Road Rear Wheel|RW-R820|Black|158.5346|357.06|NULL|890.00|21|78|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|8F262A37-43AA-4AD5-AE1F-8BD6967D8E9B,
829|Touring Rear Wheel|RW-T905|Black|108.7844|245.01|NULL|NULL|21|43|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|30D2254D-E26D-4586-B4C5-E8CCB8A059B8,
830|ML Mountain Frame - Black, 40|FR-M63B-40|Black|185.8193|348.76|40|1256.44|16|14|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|AED1C9C4-C139-45D2-B38E-0A0A9F518665
831|ML Mountain Frame - Black, 44|FR-M63B-44|Black|185.8193|348.76|44|1274.59|16|14|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|3F2135D4-EC5F-4E30-BDE8-5444518F0637
832|ML Mountain Frame - Black, 48|FR-M63B-48|Black|185.8193|348.76|48|1292.73|16|14|2006-07-01 00:00:00.000|2007-06-30 00:00:00.000|NULL|C2009B69-F15A-47EC-B710-1809D299318A
833|ML Road Frame-W - Yellow, 40|FR-R72Y-40|Yellow|360.9428|594.83|40|1006.97|18|17|2006-07-01 00:00:00.000|NULL|NULL|22DF26F2-60BC-493E-A14A-5500633E9F7E
834|ML Road Frame-W - Yellow, 42|FR-R72Y-42|Yellow|360.9428|594.83|42|1025.11|18|17|2006-07-01 00:00:00.000|NULL|NULL|207B54DA-5404-415D-8578-9A45082E3BF1
835|ML Road Frame-W - Yellow, 44|FR-R72Y-44|Yellow|360.9428|594.83|44|1043.26|18|17|2006-07-01 00:00:00.000|NULL|NULL|A0FAD492-AC24-4FCF-8D2A-D21D06386AE1
